date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:50:04	142267/142267	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-22bbb%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-breadcrumb.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-breadcrumb.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:50:05	144176/144176	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-23330%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-offcanvas.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-offcanvas.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:50:05	169053/169053	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-2945d%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-lists.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-lists.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:50:06	177572/177572	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-2b5a4%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-grid.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-grid.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:50:06	157192/157192	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-26608%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-carousel.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-carousel.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:50:07	151119/151119	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-24e4f%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-scrollspy.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-scrollspy.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:50:07	145072/145072	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-236b0%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-spinner.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-spinner.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:50:07	136280/136280	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-21458%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-link.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-link.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:50:08	225922/225922	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-37282%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-cards.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-cards.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:50:08	256172/256172	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-3e8ac%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-card-customs.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-card-customs.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:50:09	144745/144745	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-23569%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-card-weather.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-card-weather.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:50:09	136749/136749	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-2162d%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-card-draggable.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/ui-card-draggable.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:50:09	140620/140620	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-2254c%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/component-sweetalert.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/component-sweetalert.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:50:10	138481/138481	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-21cf1%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/component-nestable.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/component-nestable.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:50:10	158610/158610	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-26b92%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/component-noui-slider.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/component-noui-slider.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:50:11	138155/138155	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-21bab%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/component-rating.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/component-rating.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:50:11	138488/138488	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-21cf8%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/component-toastr.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/component-toastr.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:50:12	386350/386350	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-5e52e%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/form-inputs.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/form-inputs.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
12:50:12	272495/272495	---MCZ	200	added ('OK')	text/html	etag:W/%2264919f86-4286f%22	https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/form-input-groups.html	C:/My%20Web%20Sites/Mordenize/demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/form-input-groups.html	(from https://demos.adminmart.com/premium/bootstrap/modernize-bootstrap/package/html/main/)
